frag,timepoint,Sample_or_Control
I2A,t0,Sample
I2A1,pre_stress,Sample
I2A12,pre_stress,Sample
I2A2,pre_stress,Sample
I2A3,pre_stress,Sample
I2A4,pre_stress,Sample
I2A7,pre_stress,Sample
I2B,t0,Sample
I2B2,pre_stress,Sample
I2B3,pre_stress,Sample
I2B4,pre_stress,Sample
I2B8,pre_stress,Sample
I2C,t0,Sample
I2C1,pre_stress,Sample
I2C2,pre_stress,Sample
I2C3,pre_stress,Sample
I2C4,pre_stress,Sample
I2D,t0,Sample
I2D1,pre_stress,Sample
I2D3,pre_stress,Sample
I2D4,pre_stress,Sample
I2E,t0,Sample
I2E2,pre_stress,Sample
I2E3,pre_stress,Sample
I2E4,pre_stress,Sample
I2E7,pre_stress,Sample
I2F,t0,Sample
I2F1,pre_stress,Sample
I2F10,pre_stress,Sample
I2F2,pre_stress,Sample
I2F4,pre_stress,Sample
I2G,t0,Sample
I2G11,pre_stress,Sample
I2G12,pre_stress,Sample
I2G2,pre_stress,Sample
I2G5,pre_stress,Sample
I2H,t0,Sample
I2H12,pre_stress,Sample
I2H13,pre_stress,Sample
I2H2,pre_stress,Sample
I2H4,pre_stress,Sample
I2I,t0,Sample
I2I10,pre_stress,Sample
I2I3,pre_stress,Sample
I2I4,pre_stress,Sample
I2I7,pre_stress,Sample
I3A,t0,Sample
I3A1,pre_stress,Sample
I3A4,pre_stress,Sample
I3A7,pre_stress,Sample
I3B,t0,Sample
I3B1,pre_stress,Sample
I3B3,pre_stress,Sample
I3B8,pre_stress,Sample
I3C,t0,Sample
I3C3,pre_stress,Sample
I3C4,pre_stress,Sample
I3C5,pre_stress,Sample
I3D,t0,Sample
I3D2,pre_stress,Sample
I3D3,pre_stress,Sample
I3D8,pre_stress,Sample
I3E,t0,Sample
I3E10,pre_stress,Sample
I3E2,pre_stress,Sample
I3E3,pre_stress,Sample
I3E4,pre_stress,Sample
I3E8,pre_stress,Sample
I3F,t0,Sample
I3F1,pre_stress,Sample
I3F2,pre_stress,Sample
I3F3,pre_stress,Sample
I3F4,pre_stress,Sample
I3G,t0,Sample
I3G1,pre_stress,Sample
I3G2,pre_stress,Sample
I3G3,pre_stress,Sample
I3G4,pre_stress,Sample
I3H,t0,Sample
I3H2,pre_stress,Sample
I3H3,pre_stress,Sample
I3H5,pre_stress,Sample
I3H8,pre_stress,Sample
I3I,t0,Sample
I3I10,pre_stress,Sample
I3I2,pre_stress,Sample
I3I3,pre_stress,Sample
I3I4,pre_stress,Sample
I4A,t0,Sample
I4A2,pre_stress,Sample
I4A3,pre_stress,Sample
I4A4,pre_stress,Sample
I4A5,pre_stress,Sample
I4B,t0,Sample
I4B1,pre_stress,Sample
I4B3,pre_stress,Sample
I4B4,pre_stress,Sample
I4C,t0,Sample
I4C2,pre_stress,Sample
I4C3,pre_stress,Sample
I4C4,pre_stress,Sample
I4D,t0,Sample
I4D4,pre_stress,Sample
I4D5,pre_stress,Sample
I4D9,pre_stress,Sample
I4E,t0,Sample
I4E3,pre_stress,Sample
I4F,t0,Sample
I4F2,pre_stress,Sample
I4F4,pre_stress,Sample
I4G,t0,Sample
I4G2,pre_stress,Sample
I4G3,pre_stress,Sample
I4G4,pre_stress,Sample
I4G9,pre_stress,Sample
I4H,t0,Sample
I4H1,pre_stress,Sample
I4H3,pre_stress,Sample
I4H4,pre_stress,Sample
I4I,t0,Sample
I4I1,pre_stress,Sample
I4I2,pre_stress,Sample
I4I4,pre_stress,Sample
I4I7,pre_stress,Sample
negcontrol1,pre_stress,Control
negcontrol2,pre_stress,Control
O2A,t0,Sample
O2A11,pre_stress,Sample
O2A9,pre_stress,Sample
O2B,t0,Sample
O2B1,pre_stress,Sample
O2B10,pre_stress,Sample
O2B2,pre_stress,Sample
O2B4,pre_stress,Sample
O2B5,pre_stress,Sample
O2C,t0,Sample
O2C1,pre_stress,Sample
O2C7,pre_stress,Sample
O2D,t0,Sample
O2D3,pre_stress,Sample
O2E,t0,Sample
O2E2,pre_stress,Sample
O2E3,pre_stress,Sample
O2E4,pre_stress,Sample
O2E8,pre_stress,Sample
O2F,t0,Sample
O2F1,pre_stress,Sample
O2F2,pre_stress,Sample
O2F3,pre_stress,Sample
O2F8,pre_stress,Sample
O2G,t0,Sample
O2G1,pre_stress,Sample
O2G2,pre_stress,Sample
O2G4,pre_stress,Sample
O2G7,pre_stress,Sample
O2H,t0,Sample
O2H2,pre_stress,Sample
O2H8,pre_stress,Sample
O2I,t0,Sample
O2I1,pre_stress,Sample
O2I3,pre_stress,Sample
O2I4,pre_stress,Sample
O2I9,pre_stress,Sample
O3A,t0,Sample
O3A10,pre_stress,Sample
O3A2,pre_stress,Sample
O3B,t0,Sample
O3B1,pre_stress,Sample
O3B2,pre_stress,Sample
O3B4,pre_stress,Sample
O3B9,pre_stress,Sample
O3C,t0,Sample
O3C1,pre_stress,Sample
O3C10,pre_stress,Sample
O3C4,pre_stress,Sample
O3D,t0,Sample
O3D1,pre_stress,Sample
O3D2,pre_stress,Sample
O3D9,pre_stress,Sample
O3E,t0,Sample
O3E10,pre_stress,Sample
O3E2,pre_stress,Sample
O3E3,pre_stress,Sample
O3F,t0,Sample
O3F13,pre_stress,Sample
O3F2,pre_stress,Sample
O3F3,pre_stress,Sample
O3F4,pre_stress,Sample
O3G,t0,Sample
O3G1,pre_stress,Sample
O3G2,pre_stress,Sample
O3G7,pre_stress,Sample
O3G8,pre_stress,Sample
O3H,t0,Sample
O3H1,pre_stress,Sample
O3H2,pre_stress,Sample
O3H3,pre_stress,Sample
O3H7,pre_stress,Sample
O3I,t0,Sample
O3I11,pre_stress,Sample
O3I13,pre_stress,Sample
O3I3,pre_stress,Sample
O3I8,pre_stress,Sample
O4A,t0,Sample
O4A1,pre_stress,Sample
O4A17,pre_stress,Sample
O4A2,pre_stress,Sample
O4A4,pre_stress,Sample
O4B,t0,Sample
O4B3,pre_stress,Sample
O4C,t0,Sample
O4C1,pre_stress,Sample
O4C2,pre_stress,Sample
O4C3,pre_stress,Sample
O4D,t0,Sample
O4D1,pre_stress,Sample
O4D12,pre_stress,Sample
O4D2,pre_stress,Sample
O4D4,pre_stress,Sample
O4D8,pre_stress,Sample
O4E,t0,Sample
O4E1,pre_stress,Sample
O4E10,pre_stress,Sample
O4E2,pre_stress,Sample
O4E4,pre_stress,Sample
O4F,t0,Sample
O4F1,pre_stress,Sample
O4F2,pre_stress,Sample
O4F3,pre_stress,Sample
O4F4,pre_stress,Sample
O4G,t0,Sample
O4G1,pre_stress,Sample
O4G7,pre_stress,Sample
O4G9,pre_stress,Sample
O4H,t0,Sample
O4H11,pre_stress,Sample
O4H2,pre_stress,Sample
O4H3,pre_stress,Sample
O4I,t0,Sample
O4I3,pre_stress,Sample