frag,Sample_or_Control
I4I4,Sample
I4D5,Sample
I4A2,Sample
O2I9,Sample
O2B5,Sample
I2G11,Sample
O2B2,Sample
I2A12,Sample
I4A5,Sample
I2B8,Sample
I2A4,Sample
I2D4,Sample
I2F1,Sample
I2F2,Sample
I2C2,Sample
I4I7,Sample
I2F4,Sample
I4A3,Sample
I2A7,Sample
I2F10,Sample
I2G5,Sample
I4H1,Sample
I2B2,Sample
I4A4,Sample
I4D9,Sample
I4D4,Sample
I2I7,Sample
I2G12,Sample
I2C4,Sample
I4H3,Sample
I4B4,Sample
O2B1,Sample
I4I2,Sample
I2G2,Sample
O2B4,Sample
I4E3,Sample
I2I4,Sample
I4C3,Sample
O2I3,Sample
I2B3,Sample
O2B10,Sample
O4B3,Sample
O2A11,Sample
I2I3,Sample
O2C1,Sample
I3I4,Sample
I3A1,Sample
I2D1,Sample
I2A3,Sample
I2A2,Sample
I3B8,Sample
O2E2,Sample
I3C3,Sample
negcontrol1,Control
I3A7,Sample
O2I1,Sample
I2A1,Sample
ITS-neg-old,Control
I3F1,Sample
I4B3,Sample
O2A9,Sample
O2D3,Sample
I3A4,Sample
I3I10,Sample
I2B4,Sample
O2I4,Sample
I3G2,Sample
I4I1,Sample
negcontrol2,Control
I3C5,Sample
I3G1,Sample
I2E2,Sample
I3G4,Sample
I3C4,Sample
I3I2,Sample
I3F4,Sample
I3B1,Sample
I3H8,Sample
O3H1,Sample
I3B3,Sample
I3H3,Sample
I3H5,Sample
O2G2,Sample
O3G2,Sample
O3B1,Sample
O4F3,Sample
I3E3,Sample
O2F3,Sample
O2F1,Sample
O3B2,Sample
I3E2,Sample
O4H2,Sample
I3D3,Sample
O3D2,Sample
I2H13,Sample
O3A2,Sample
O3C4,Sample
O2G4,Sample
O4C1,Sample
O4G7,Sample
O4E2,Sample
O3F3,Sample
O3I3,Sample
O4F4,Sample
O2G7,Sample
O4F2,Sample
O3C1,Sample
O4D2,Sample
O3I11,Sample
O2G1,Sample
O4A17,Sample
O4E4,Sample
I2H2,Sample
O3A10,Sample
O3C10,Sample
O4E1,Sample
O4H3,Sample
I3E4,Sample
O4E10,Sample
O4A2,Sample
O3D1,Sample
O2H8,Sample
O3I13,Sample
O3F4,Sample
O3E10,Sample
O2H2,Sample
O3F13,Sample
O4F1,Sample
O4H11,Sample
I2H12,Sample
I3D2,Sample
O3F2,Sample
O3E2,Sample
O4D4,Sample
O4I3,Sample
I3E10,Sample
O4G9,Sample
I3F2,Sample
O4A4,Sample
I3E8,Sample
O4C3,Sample
O4D1,Sample
O4D12,Sample
O2F2,Sample
O3B4,Sample
O3D9,Sample
O3I8,Sample
O4A1,Sample
O4D8,Sample
I3D8,Sample
O2F8,Sample
O3B9,Sample
O2C7,Sample
I2E7,Sample
O3G1,Sample
O3G7,Sample
O3H2,Sample
I2E3,Sample
O3H3,Sample
O3H7,Sample
O3E3,Sample
O3G8,Sample
I3I3,Sample
I3F3,Sample
I3G3,Sample
O4C2,Sample
I4F4,Sample
I4B1,Sample
I4H4,Sample
I4G4,Sample
I4C4,Sample
I2C1,Sample
I2C3,Sample
I2D3,Sample
I4G2,Sample
O2E3,Sample
O2E8,Sample
O2E4,Sample
I4F2,Sample
I2I10,Sample
I4C2,Sample
I4G9,Sample
I4G3,Sample
I2H4,Sample
O4G1,Sample
ITS-neg-new,Control
I2E4,Sample
I3H2,Sample