"frag","B19.B19j","B5","C1.C3.C1c.C1b.C72k.C1w","C1.C1c.C3.C1al.C1b","C1.C3.C1b.C1c.C42.2.C72k","C3.C1.C3y.C6a","C3af.C3hq","C3.C3y.C6a","C1.C1c","C1.C1c.C1al.C72k","C1.C1c.C1b","C1.C1c.C1am.C1ao.C1an.C3cm.C72k","C1.C1c.C1al","C3.C1","C15","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2","D1.D4.D4c.D1cl.D1az.D1c.D2","D1.D4.D4c.D1c","D1.D4.D4c","D1.D4.D4c.D2","Sample_or_Control","treat","gen_site","sitename","reef","lineage","dominant_div"
"I4I4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","I4I","PD","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I4D5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","I4D","PD","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I4A2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Low Var","I4A","PD","Inner Reef","L1","C1.C3.C1c.C1b.C72k.C1w"
"O2I9",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Low Var","O2I","BS","Outer Reef","L1","C1.C3.C1c.C1b.C72k.C1w"
"O2B5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","O2B","BS","Outer Reef","L1","C1.C3.C1c.C1b.C72k.C1w"
"I2G11",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I2G","SP","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"O2B2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Low Var","O2B","BS","Outer Reef","L1","C1.C3.C1c.C1b.C72k.C1w"
"I4A5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","I4A","PD","Inner Reef","L1","C1.C3.C1c.C1b.C72k.C1w"
"I2B8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","I2B","SP","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I2A4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","I2A","SP","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I2F1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","I2F","SP","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I2F2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Low Var","I2F","SP","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I2C2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Low Var","I2C","SP","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I4I7",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I4I","PD","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I2F4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","I2F","SP","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I4A3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I4A","PD","Inner Reef","L1","C1.C3.C1c.C1b.C72k.C1w"
"I2F10",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I2F","SP","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I2G5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","I2G","SP","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I4H1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","I4H","PD","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I2B2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Low Var","I2B","SP","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I4A4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","I4A","PD","Inner Reef","L1","C1.C3.C1c.C1b.C72k.C1w"
"I4D9",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I4D","PD","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I4D4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","I4D","PD","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I2G12",0,0,0.987167195220886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128328047791135,0,"Sample","High Var","I2G","SP","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I2C4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","I2C","SP","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I4H3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I4H","PD","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I4B4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","I4B","PD","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I4I2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Low Var","I4I","PD","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I2G2",0,0,0.944484958979034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555150410209663,0,0,0,"Sample","Low Var","I2G","SP","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"O2B4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","O2B","BS","Outer Reef","L1","C1.C3.C1c.C1b.C72k.C1w"
"I4E3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I4E","PD","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"I4C3",0,0,0.949152542372881,0,0,0,0,0,0,0,0,0,0,0,0,0.0508474576271186,0,0,0,0,"Sample","Mod Var","I4C","PD","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"O2I3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","O2I","BS","Outer Reef","L1","C1.C3.C1c.C1b.C72k.C1w"
"I2B3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I2B","SP","Inner Reef","L2","C1.C3.C1c.C1b.C72k.C1w"
"O2B10",0,0,0.956167979002625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438320209973753,0,0,"Sample","Mod Var","O2B","BS","Outer Reef","L1","C1.C3.C1c.C1b.C72k.C1w"
"O4B3",0,0,0.924242424242424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757575757575758,"Sample","Mod Var","O4B","BN","Outer Reef","L1","C1.C3.C1c.C1b.C72k.C1w"
"O2A11",0,0,0.820605129034868,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179394870965132,0,0,0,"Sample","Control","O2A","BS","Outer Reef","L1","C1.C3.C1c.C1b.C72k.C1w"
"O2C1",0,0,0.529214195183777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470785804816223,0,0,0,"Sample","Control","O2C","BS","Outer Reef","L1","C1.C3.C1c.C1b.C72k.C1w"
"I3I4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","I3I","CI","Inner Reef","L1","C1.C1c.C3.C1al.C1b"
"I3A1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","I3A","CI","Inner Reef","L1","C1.C1c.C3.C1al.C1b"
"I2A3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I2A","SP","Inner Reef","L2","C1.C1c.C3.C1al.C1b"
"I2A2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Low Var","I2A","SP","Inner Reef","L2","C1.C1c.C3.C1al.C1b"
"O2E2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Low Var","O2E","BS","Outer Reef","L1","C1.C1c.C3.C1al.C1b"
"I3C3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I3C","CI","Inner Reef","L2","C1.C1c.C3.C1al.C1b"
"I3A7",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I3A","CI","Inner Reef","L1","C1.C1c.C3.C1al.C1b"
"O2I1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","O2I","BS","Outer Reef","L1","C1.C1c.C3.C1al.C1b"
"I2A1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","I2A","SP","Inner Reef","L2","C1.C1c.C3.C1al.C1b"
"I3F1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","I3F","CI","Inner Reef","L1","C1.C1c.C3.C1al.C1b"
"I4B3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I4B","PD","Inner Reef","L2","C1.C1c.C3.C1al.C1b"
"O2A9",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","O2A","BS","Outer Reef","L1","C1.C1c.C3.C1al.C1b"
"O2D3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","O2D","BS","Outer Reef","L1","C1.C1c.C3.C1al.C1b"
"I3A4",0,0,0,0.970907112059944,0,0,0,0,0,0,0,0,0,0,0,0,0.0290928879400561,0,0,0,"Sample","High Var","I3A","CI","Inner Reef","L1","C1.C1c.C3.C1al.C1b"
"I2B4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","I2B","SP","Inner Reef","L2","C1.C1c.C3.C1al.C1b"
"O2I4",0,0,0,0.981287513239967,0,0,0,0,0,0,0,0,0,0,0,0,0.018712486760033,0,0,0,"Sample","High Var","O2I","BS","Outer Reef","L1","C1.C1c.C3.C1al.C1b"
"I3G2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Low Var","I3G","CI","Inner Reef","L2","C1.C1c.C3.C1al.C1b"
"I4I1",0,0,0,0.959401548755733,0,0,0,0,0,0,0,0,0,0,0,0,0.0405984512442674,0,0,0,"Sample","Control","I4I","PD","Inner Reef","L2","C1.C1c.C3.C1al.C1b"
"I3C5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","I3C","CI","Inner Reef","L2","C1.C1c.C3.C1al.C1b"
"I3G1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","I3G","CI","Inner Reef","L2","C1.C1c.C3.C1al.C1b"
"I2E2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Low Var","I2E","SP","Inner Reef","L2","C1.C1c.C3.C1al.C1b"
"I3G4",0,0,0,0.945322403447984,0,0,0,0,0,0,0,0,0,0,0,0,0.0546775965520155,0,0,0,"Sample","High Var","I3G","CI","Inner Reef","L2","C1.C1c.C3.C1al.C1b"
"I3C4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","I3C","CI","Inner Reef","L2","C1.C1c.C3.C1al.C1b"
"I3I2",0,0,0,0.936706349206349,0,0,0,0,0,0,0,0,0,0,0,0.0632936507936508,0,0,0,0,"Sample","Low Var","I3I","CI","Inner Reef","L1","C1.C1c.C3.C1al.C1b"
"I3F4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","I3F","CI","Inner Reef","L1","C1.C1c.C3.C1al.C1b"
"I3H8",0,0,0,0.914799853103195,0,0,0,0,0,0,0,0,0,0,0,0.085200146896805,0,0,0,0,"Sample","High Var","I3H","CI","Inner Reef","L1","C1.C1c.C3.C1al.C1b"
"O3H1",0,0,0,0.915350223546945,0,0,0,0,0,0,0,0,0,0,0,0,0.0846497764530551,0,0,0,"Sample","Control","O3H","CA","Outer Reef","L1","C1.C1c.C3.C1al.C1b"
"I3H3",0,0,0,0.844239631336406,0,0,0,0,0,0,0,0,0,0,0,0.155760368663594,0,0,0,0,"Sample","Mod Var","I3H","CI","Inner Reef","L1","C1.C1c.C3.C1al.C1b"
"I3H5",0,0,0,0.751056951007212,0,0,0,0,0,0,0,0,0,0,0,0,0.248943048992788,0,0,0,"Sample","Control","I3H","CI","Inner Reef","L1","C1.C1c.C3.C1al.C1b"
"O2G2",0,0,0,0.777998580553584,0,0,0,0,0,0,0,0,0,0,0,0.222001419446416,0,0,0,0,"Sample","Low Var","O2G","BS","Outer Reef","L2","C1.C1c.C3.C1al.C1b"
"O3G2",0,0,0,0.776735050196421,0,0,0,0,0,0,0,0,0,0,0,0.223264949803579,0,0,0,0,"Sample","Low Var","O3G","CA","Outer Reef","L1","C1.C1c.C3.C1al.C1b"
"O3B1",0,0,0,0.678795961135454,0,0,0,0,0,0,0,0,0,0,0,0,0.321204038864546,0,0,0,"Sample","Control","O3B","CA","Outer Reef","L1","C1.C1c.C3.C1al.C1b"
"O4F3",0,0,0,0.779574468085106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220425531914894,0,0,"Sample","Mod Var","O4F","BN","Outer Reef","L1","C1.C1c.C3.C1al.C1b"
"I3E3",0,0,0,0.616768443637564,0,0,0,0,0,0,0,0,0,0,0,0,0.383231556362436,0,0,0,"Sample","Mod Var","I3E","CI","Inner Reef","L2","C1.C1c.C3.C1al.C1b"
"O2F3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Mod Var","O2F","BS","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O2F1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Control","O2F","BS","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O3B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Low Var","O3B","CA","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"I3E2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Low Var","I3E","CI","Inner Reef","L2","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O4H2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Low Var","O4H","BN","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"I3D3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Mod Var","I3D","CI","Inner Reef","L2","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
