"frag","B19.B19j","B5","C1.C3.C1c.C1b.C72k.C1w","C1.C1c.C3.C1al.C1b","C1.C3.C1b.C1c.C42.2.C72k","C3.C1.C3y.C6a","C3af.C3hq","C3.C3y.C6a","C1.C1c","C1.C1c.C1al.C72k","C1.C1c.C1b","C1.C1c.C1am.C1ao.C1an.C3cm.C72k","C1.C1c.C1al","C3.C1","C15","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2","D1.D4.D4c.D1cl.D1az.D1c.D2","D1.D4.D4c.D1c","D1.D4.D4c","D1.D4.D4c.D2","Sample_or_Control","treat","gen_site","sitename","reef","lineage","dominant_div"
"O3D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Low Var","O3D","CA","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O3C4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","High Var","O3C","CA","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O2G4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","High Var","O2G","BS","Outer Reef","L2","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O4C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Control","O4C","BN","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O4G7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Mod Var","O4G","BN","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O4E2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Low Var","O4E","BN","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O3F3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Mod Var","O3F","CA","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O3I3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Low Var","O3I","CA","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O4F4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","High Var","O4F","BN","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O2G7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Mod Var","O2G","BS","Outer Reef","L2","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O4F2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Low Var","O4F","BN","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O3C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Control","O3C","CA","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O4D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Low Var","O4D","BN","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O3I11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Mod Var","O3I","CA","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O2G1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Control","O2G","BS","Outer Reef","L2","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O4A17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Mod Var","O4A","BN","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O4E4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","High Var","O4E","BN","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O3C10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Mod Var","O3C","CA","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O4E1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Control","O4E","BN","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O4H3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Mod Var","O4H","BN","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"I3E4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","High Var","I3E","CI","Inner Reef","L2","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O4E10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Mod Var","O4E","BN","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O4A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Low Var","O4A","BN","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O3D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Control","O3D","CA","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O2H8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sample","Mod Var","O2H","BS","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O3I13",0.123879380603097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876120619396903,0,0,0,0,"Sample","High Var","O3I","CA","Outer Reef","L1","D1.D4.D1cl.D1ck.D4c.D1cm.D1c.D2"
"O3F4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Sample","High Var","O3F","CA","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O3E10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Sample","Control","O3E","CA","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O2H2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Sample","Control","O2H","BS","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O3F13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Sample","Control","O3F","CA","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O4F1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Sample","Control","O4F","BN","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O4H11",0,0,0,0,0,0,0,0,0,0.0291353383458647,0,0,0,0,0,0,0.970864661654135,0,0,0,"Sample","High Var","O4H","BN","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"I3D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Sample","Low Var","I3D","CI","Inner Reef","L2","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O3F2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Sample","Low Var","O3F","CA","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O3E2",0,0,0,0.0598462664714495,0,0,0,0,0,0,0,0,0,0,0,0,0.94015373352855,0,0,0,"Sample","Low Var","O3E","CA","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O4D4",0,0,0,0.0335183603757472,0,0,0,0,0,0,0,0,0,0,0,0,0.966481639624253,0,0,0,"Sample","High Var","O4D","BN","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O4G9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Sample","Low Var","O4G","BN","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"I3F2",0.0299423470336619,0,0,0.0189696856983448,0,0,0,0,0,0,0,0,0,0,0,0,0.951087967267993,0,0,0,"Sample","Low Var","I3F","CI","Inner Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O4A4",0,0,0,0.0640718562874251,0,0,0,0,0,0,0,0,0,0,0,0,0.935928143712575,0,0,0,"Sample","High Var","O4A","BN","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"I3E8",0,0,0,0.0624852906566251,0,0,0,0,0,0,0,0,0,0,0,0,0.937514709343375,0,0,0,"Sample","Control","I3E","CI","Inner Reef","L2","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O4C3",0,0,0.050506512301013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949493487698987,0,0,0,"Sample","Mod Var","O4C","BN","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O4D1",0,0,0.0451578828234051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954842117176595,0,0,0,"Sample","Control","O4D","BN","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O4D12",0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0.928571428571429,0,0,0,"Sample","Mod Var","O4D","BN","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O2F2",0,0,0,0,0,0,0,0,0,0,0.0840613931523022,0,0,0,0,0,0.915938606847698,0,0,0,"Sample","Low Var","O2F","BS","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O3B4",0.024789029535865,0,0,0,0.087289029535865,0,0,0,0,0,0,0,0,0,0,0,0.88792194092827,0,0,0,"Sample","High Var","O3B","CA","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O3D9",0,0,0.119370308590492,0,0,0,0.00396163469557965,0,0,0,0,0,0,0,0,0,0.876668056713928,0,0,0,"Sample","Mod Var","O3D","CA","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O3I8",0,0,0,0.135027675995946,0,0,0,0,0,0,0,0,0,0,0,0,0.864972324004054,0,0,0,"Sample","Control","O3I","CA","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O4A1",0,0,0,0,0,0,0,0,0,0,0,0.164754677020826,0,0,0,0,0.835245322979174,0,0,0,"Sample","Control","O4A","BN","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"I3D8",0.111288392500997,0,0,0,0,0,0.0422816114878341,0,0.033905065815716,0,0,0,0,0,0,0,0.812524930195453,0,0,0,"Sample","High Var","I3D","CI","Inner Reef","L2","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O2F8",0,0,0,0.369127516778524,0,0,0,0,0,0,0,0,0,0,0,0,0.630872483221476,0,0,0,"Sample","High Var","O2F","BS","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O3B9",0,0,0,0.362361348122867,0,0,0,0,0,0,0,0,0,0,0,0,0.637638651877133,0,0,0,"Sample","Mod Var","O3B","CA","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"O2C7",0,0,0.43332950499598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56667049500402,0,0,0,"Sample","High Var","O2C","BS","Outer Reef","L1","D1.D4.D4c.D1cl.D1az.D1c.D2"
"I2E7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","I2E","SP","Inner Reef","L2","C1.C3.C1b.C1c.C42.2.C72k"
"O3G1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","O3G","CA","Outer Reef","L1","C1.C3.C1b.C1c.C42.2.C72k"
"O3G7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","O3G","CA","Outer Reef","L1","C1.C3.C1b.C1c.C42.2.C72k"
"O3H2",0,0,0,0,0.988678208298983,0,0,0,0,0,0,0,0,0,0,0,0.0113217917010168,0,0,0,"Sample","Low Var","O3H","CA","Outer Reef","L1","C1.C3.C1b.C1c.C42.2.C72k"
"I2E3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I2E","SP","Inner Reef","L2","C1.C3.C1b.C1c.C42.2.C72k"
"O3H3",0.0176443478833366,0,0,0,0.957930080979656,0,0,0,0,0,0,0,0,0,0,0,0.024425571137007,0,0,0,"Sample","Mod Var","O3H","CA","Outer Reef","L1","C1.C3.C1b.C1c.C42.2.C72k"
"O3H7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","O3H","CA","Outer Reef","L1","C1.C3.C1b.C1c.C42.2.C72k"
"O3E3",0,0,0,0,0.922668083975551,0,0,0,0,0,0,0,0,0,0,0.0773319160244486,0,0,0,0,"Sample","Mod Var","O3E","CA","Outer Reef","L1","C1.C3.C1b.C1c.C42.2.C72k"
"O3G8",0,0,0,0,0.906276475571872,0,0,0,0,0,0,0,0,0,0,0,0.0937235244281276,0,0,0,"Sample","Mod Var","O3G","CA","Outer Reef","L1","C1.C3.C1b.C1c.C42.2.C72k"
"I3I3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I3I","CI","Inner Reef","L1","C1.C3.C1b.C1c.C42.2.C72k"
"I3F3",0,0,0,0,0.770855332629356,0,0,0,0,0,0,0,0,0,0,0.229144667370644,0,0,0,0,"Sample","Mod Var","I3F","CI","Inner Reef","L1","C1.C3.C1b.C1c.C42.2.C72k"
"I3G3",0,0,0,0,0.767657992565056,0,0,0,0,0,0,0,0,0,0,0.232342007434944,0,0,0,0,"Sample","Mod Var","I3G","CI","Inner Reef","L2","C1.C3.C1b.C1c.C42.2.C72k"
"O4C2",0,0,0,0,0.695527213939285,0,0,0,0,0,0,0,0,0,0,0.304472786060715,0,0,0,0,"Sample","Low Var","O4C","BN","Outer Reef","L1","C1.C3.C1b.C1c.C42.2.C72k"
"I4F4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","I4F","PD","Inner Reef","L2","C3.C1.C3y.C6a"
"I4B1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","I4B","PD","Inner Reef","L2","C3.C1.C3y.C6a"
"I4H4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","I4H","PD","Inner Reef","L2","C3.C1.C3y.C6a"
"I4C4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","I4C","PD","Inner Reef","L2","C3.C1.C3y.C6a"
"I2C1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","I2C","SP","Inner Reef","L2","C3.C1.C3y.C6a"
"I2C3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","I2C","SP","Inner Reef","L2","C3.C1.C3y.C6a"
"O2E3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Mod Var","O2E","BS","Outer Reef","L1","C3af.C3hq"
"O2E8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Control","O2E","BS","Outer Reef","L1","C3af.C3hq"
"O2E4",0,0,0,0,0,0,0.880140953852095,0,0.119859046147905,0,0,0,0,0,0,0,0,0,0,0,"Sample","High Var","O2E","BS","Outer Reef","L1","C3af.C3hq"
"I4F2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Low Var","I4F","PD","Inner Reef","L2","C3.C3y.C6a"
"I4C2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Sample","Low Var","I4C","PD","Inner Reef","L2","C3.C3y.C6a"
"O4G1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Sample","Control","O4G","BN","Outer Reef","L1","D1.D4.D4c.D1c"
"I2E4",0,0,0,0,0,0,0,0,0,0,0,0,0.940298507462687,0,0.0597014925373134,0,0,0,0,0,"Sample","High Var","I2E","SP","Inner Reef","L2","C1.C1c.C1al"
