"logger","datetime","max","min","mean","range","date","month"
"Cayo.OR3.arr3","2015-06-30 23:45:00",30.369,28.295,29.2998207671958,2.074,2015-06-30,"jun"
"Drago.OR4","2015-06-30 23:45:00",30.343,27.53,28.9700960648148,2.813,2015-06-30,"jun"
"Punta.IR1","2015-06-30 23:45:00",30.9,29.065,29.9106598875661,1.835,2015-06-30,"jun"
"STRI.IR2","2015-06-30 23:45:00",30.066,28.468,29.3093224206349,1.598,2015-06-30,"jun"
"Cristo.IR3.arr1","2015-06-30 23:45:00",31.4077777777778,28.9411111111111,30.0810986184597,2.46666666666667,2015-06-30,"jun"
"Cayo.OR3.arr3","2015-07-31 23:45:00",29.865,27.974,28.9141345206093,1.891,2015-07-31,"jul"
"Drago.OR4","2015-07-31 23:45:00",29.59,27.407,28.4968313172043,2.183,2015-07-31,"jul"
"Punta.IR1","2015-07-31 23:45:00",30.192,28.394,29.2832773297491,1.798,2015-07-31,"jul"
"STRI.IR2","2015-07-31 23:45:00",29.615,27.702,28.706,1.913,2015-07-31,"jul"
"Cristo.IR3.arr1","2015-07-31 23:45:00",30.7222222222222,28.0477777777778,29.3153129978096,2.67444444444444,2015-07-31,"jul"
"Cayo.OR3.arr3","2015-08-31 23:45:00",31.026,27.825,29.2795082885305,3.201,2015-08-31,"aug"
"Drago.OR4","2015-08-31 23:45:00",30.343,27.677,28.9251522177419,2.666,2015-08-31,"aug"
"Punta.IR1","2015-08-31 23:45:00",30.697,27.899,29.2904874551971,2.798,2015-08-31,"aug"
"STRI.IR2","2015-08-31 23:45:00",29.74,27.899,28.817175515233,1.841,2015-08-31,"aug"
"Cristo.IR3.arr1","2015-08-31 23:45:00",31.4588888888889,27.9738888888889,29.5628883537435,3.48500000000001,2015-08-31,"aug"
"Cayo.OR3.arr3","2015-09-30 23:45:00",32.047,27.751,29.8449391203704,4.296,2015-09-30,"sep"
"Drago.OR4","2015-09-30 23:45:00",31.179,27.702,29.4171258101852,3.477,2015-09-30,"sep"
"Punta.IR1","2015-09-30 23:45:00",31.689,28.072,29.8269074074074,3.617,2015-09-30,"sep"
"STRI.IR2","2015-09-30 23:45:00",31.026,28.097,29.4658990740741,2.929,2015-09-30,"sep"
"Cristo.IR3.arr1","2015-09-30 23:45:00",32.2527777777778,28.32,30.2060324074074,3.93277777777778,2015-09-30,"sep"
"Cayo.OR3.arr3","2015-10-31 23:45:00",32.33,29.389,30.8208912410394,2.941,2015-10-31,"oct"
"Drago.OR4","2015-10-31 23:45:00",31.357,29.265,30.298688844086,2.092,2015-10-31,"oct"
"Punta.IR1","2015-10-31 23:45:00",32.021,29.991,30.9655778449821,2.03,2015-10-31,"oct"
"STRI.IR2","2015-10-31 23:45:00",31.484,29.389,30.4408298611111,2.095,2015-10-31,"oct"
"Cristo.IR3.arr1","2015-10-31 23:45:00",33.2088888888889,29.74,31.33333109319,3.46888888888889,2015-10-31,"oct"
"Cayo.OR3.arr3","2015-11-30 23:45:00",31.586,28.245,29.937125,3.341,2015-11-30,"nov"
"Drago.OR4","2015-11-30 23:45:00",31.052,27.481,29.4084059027778,3.571,2015-11-30,"nov"
"Punta.IR1","2015-11-30 23:45:00",31.842,28.766,30.3104042824074,3.076,2015-11-30,"nov"
"STRI.IR2","2015-11-30 23:45:00",31.026,28.717,29.9215020833333,2.309,2015-11-30,"nov"
"Cristo.IR3.arr1","2015-11-30 23:45:00",32.4072222222222,28.6172222222222,30.4830963220165,3.79,2015-11-30,"nov"
"Cayo.OR3.arr3","2015-12-31 23:45:00",30.596,28.369,29.3684963037634,2.227,2015-12-31,"dec"
"Drago.OR4","2015-12-31 23:45:00",29.916,28.072,28.9519492607527,1.844,2015-12-31,"dec"
"Punta.IR1","2015-12-31 23:45:00",30.217,28.518,29.3378672715054,1.699,2015-12-31,"dec"
"STRI.IR2","2015-12-31 23:45:00",29.69,28.493,29.0421823476703,1.197,2015-12-31,"dec"
"Cristo.IR3.arr1","2015-12-31 23:45:00",30.95,28.5177777777778,29.6202302991836,2.43222222222222,2015-12-31,"dec"
"Cayo.OR3.arr3","2016-01-31 23:45:00",30.343,27.628,28.9564509408602,2.715,2016-01-31,"jan"
"Drago.OR4","2016-01-31 23:45:00",29.815,27.505,28.6444681899642,2.31,2016-01-31,"jan"
"Punta.IR1","2016-01-31 23:45:00",30.217,28.072,29.1269590053763,2.145,2016-01-31,"jan"
"STRI.IR2","2016-01-31 23:45:00",29.765,28.171,28.9407973790323,1.594,2016-01-31,"jan"
"Cristo.IR3.arr1","2016-01-31 23:45:00",31.23,27.825,29.5029526956392,3.405,2016-01-31,"jan"
"Cayo.OR3.arr3","2016-02-29 23:45:00",29.966,27.038,28.4466625957854,2.928,2016-02-29,"feb"
"Drago.OR4","2016-02-29 23:45:00",29.79,26.769,28.1663763170498,3.021,2016-02-29,"feb"
"Punta.IR1","2016-02-29 23:45:00",29.74,27.038,28.3940085009579,2.702,2016-02-29,"feb"
"STRI.IR2","2016-02-29 23:45:00",29.464,27.038,28.1989752155172,2.426,2016-02-29,"feb"
"Cristo.IR3.arr1","2016-02-29 23:45:00",31.2811111111111,27.235,29.0834635749255,4.04611111111111,2016-02-29,"feb"
"Cayo.OR3.arr3","2016-03-31 23:45:00",30.571,27.456,29.0275947580645,3.115,2016-03-31,"mar"
"Drago.OR4","2016-03-31 23:45:00",30.293,27.505,28.8547105734767,2.788,2016-03-31,"mar"
"Punta.IR1","2016-03-31 23:45:00",30.646,28.221,29.4683971774194,2.425,2016-03-31,"mar"
"STRI.IR2","2016-03-31 23:45:00",29.991,27.924,28.9738200044803,2.067,2016-03-31,"mar"
"Cristo.IR3.arr1","2016-03-31 23:45:00",31.8161111111111,28.0227777777778,29.8829737280964,3.79333333333334,2016-03-31,"mar"
"Cayo.OR3.arr3","2016-04-30 23:45:00",32.098,28.543,30.1544861111111,3.555,2016-04-30,"apr"
"Drago.OR4","2016-04-30 23:45:00",31.255,28.369,29.6787520833333,2.886,2016-04-30,"apr"
"Punta.IR1","2016-04-30 23:45:00",31.842,29.09,30.3658708333333,2.752,2016-04-30,"apr"
"STRI.IR2","2016-04-30 23:45:00",31.001,28.965,29.886350462963,2.036,2016-04-30,"apr"
"Cristo.IR3.arr1","2016-04-30 23:45:00",33.365,28.7422222222222,30.8093391203704,4.62277777777778,2016-04-30,"apr"
"Cayo.OR3.arr3","2016-05-31 23:45:00",32.433,29.165,30.6531767473118,3.268,2016-05-31,"may"
"Drago.OR4","2016-05-31 23:45:00",31.663,28.742,30.1112581765233,2.921,2016-05-31,"may"
"Punta.IR1","2016-05-31 23:45:00",32.15,29.29,30.5952921146953,2.86,2016-05-31,"may"
"STRI.IR2","2016-05-31 23:45:00",31.586,29.24,30.312720094086,2.346,2016-05-31,"may"
"Cristo.IR3.arr1","2016-05-31 23:45:00",33.5477777777778,29.265,31.1917940437077,4.28277777777777,2016-05-31,"may"
"Cayo.OR3.arr3","2016-06-30 23:45:00",32.175,28.841,30.3864981481481,3.334,2016-06-30,"jun"
"Drago.OR4","2016-06-30 23:45:00",31.204,28.617,29.9040059027778,2.587,2016-06-30,"jun"
"Punta.IR1","2016-06-30 23:45:00",31.842,28.941,30.4219134259259,2.901,2016-06-30,"jun"
"STRI.IR2","2016-06-30 23:45:00",31.103,29.315,30.1598619212963,1.788,2016-06-30,"jun"
"Cristo.IR3.arr1","2016-06-30 23:45:00",32.7422222222222,29.34,30.9122861368313,3.40222222222222,2016-06-30,"jun"
"Cayo.OR3.arr3","2016-07-31 23:45:00",30.016,27.924,28.9397411514337,2.092,2016-07-31,"jul"
"Drago.OR4","2016-07-31 23:45:00",29.665,27.702,28.7037903225806,1.963,2016-07-31,"jul"
"Punta.IR1","2016-07-31 23:45:00",30.167,28.369,29.2780829973118,1.798,2016-07-31,"jul"
"STRI.IR2","2016-07-31 23:45:00",29.49,28.369,28.9208353494624,1.121,2016-07-31,"jul"
"Cristo.IR3.arr1","2016-07-31 23:45:00",31.5861111111111,28.0227777777778,29.5924906038431,3.56333333333334,2016-07-31,"jul"
"Cayo.OR3.arr3","2016-08-14 00:00:00",31.255,28.493,29.7801449159327,2.762,2016-08-14,"NA"
"Drago.OR4","2016-08-14 00:00:00",30.621,28.27,29.3733336002135,2.351,2016-08-14,"NA"
"Punta.IR1","2016-08-14 00:00:00",30.824,28.916,29.8354152655458,1.908,2016-08-14,"NA"
"STRI.IR2","2016-08-14 00:00:00",30.066,28.345,29.2325225513744,1.721,2016-08-14,"NA"
"Cristo.IR3.arr1","2016-08-14 00:00:00",31.765,28.245,29.9160630726804,3.52000000000001,2016-08-14,"NA"
