"logger","datetime","max","min","mean","range","date"
"Cayo.OR3.arr3","2015-06-14 23:45:00",30.369,28.965,29.6540208333333,1.404,2015-06-14
"Drago.OR4","2015-06-14 23:45:00",30.293,29.04,29.6036222222222,1.253,2015-06-14
"Punta.IR1","2015-06-14 23:45:00",30.9,29.69,30.2711173611111,1.21,2015-06-14
"STRI.IR2","2015-06-14 23:45:00",30.066,29.54,29.7861472222222,0.526,2015-06-14
"Cristo.IR3.arr1","2015-06-14 23:45:00",31.3311111111111,29.09,30.2008267746914,2.24111111111111,2015-06-14
"Cayo.OR3.arr3","2015-06-21 23:45:00",29.615,28.593,29.1078928571429,1.022,2015-06-21
"Drago.OR4","2015-06-21 23:45:00",29.389,28.245,28.8971999007937,1.144,2015-06-21
"Punta.IR1","2015-06-21 23:45:00",30.243,29.14,29.6676423611111,1.103,2015-06-21
"STRI.IR2","2015-06-21 23:45:00",30.016,28.891,29.4357609126984,1.125,2015-06-21
"Cristo.IR3.arr1","2015-06-21 23:45:00",31.4077777777778,29.215,30.15529954806,2.19277777777778,2015-06-21
"Cayo.OR3.arr3","2015-06-28 23:45:00",30.041,28.295,29.1625481150794,1.746,2015-06-28
"Drago.OR4","2015-06-28 23:45:00",30.343,27.949,29.0617614087302,2.394,2015-06-28
"Punta.IR1","2015-06-28 23:45:00",30.268,29.065,29.6585714285714,1.203,2015-06-28
"STRI.IR2","2015-06-28 23:45:00",29.715,28.468,29.1031215277778,1.247,2015-06-28
"Cristo.IR3.arr1","2015-06-28 23:45:00",31.1788888888889,28.965,29.9888605048501,2.21388888888889,2015-06-28
"Cayo.OR3.arr3","2015-07-05 23:45:00",29.665,28.295,28.9792380952381,1.37,2015-07-05
"Drago.OR4","2015-07-05 23:45:00",29.439,27.53,28.5321354166667,1.909,2015-07-05
"Punta.IR1","2015-07-05 23:45:00",30.192,28.916,29.5453685515873,1.276,2015-07-05
"STRI.IR2","2015-07-05 23:45:00",29.615,28.27,29.0075907738095,1.345,2015-07-05
"Cristo.IR3.arr1","2015-07-05 23:45:00",30.7222222222222,28.9411111111111,29.7742184744268,1.78111111111111,2015-07-05
"Cayo.OR3.arr3","2015-07-12 23:45:00",29.54,28.27,28.8858263888889,1.27,2015-07-12
"Drago.OR4","2015-07-12 23:45:00",29.389,27.431,28.4043159722222,1.958,2015-07-12
"Punta.IR1","2015-07-12 23:45:00",29.865,28.419,29.203564484127,1.446,2015-07-12
"STRI.IR2","2015-07-12 23:45:00",29.165,28.32,28.7633883928571,0.844999999999999,2015-07-12
"Cristo.IR3.arr1","2015-07-12 23:45:00",29.84,28.27,29.0733611662257,1.57,2015-07-12
"Cayo.OR3.arr3","2015-07-19 23:45:00",29.515,27.974,28.7755367063492,1.541,2015-07-19
"Drago.OR4","2015-07-19 23:45:00",29.015,27.407,28.2165381944444,1.608,2015-07-19
"Punta.IR1","2015-07-19 23:45:00",29.464,28.394,28.9397524801587,1.07,2015-07-19
"STRI.IR2","2015-07-19 23:45:00",29.29,28.147,28.6532534722222,1.143,2015-07-19
"Cristo.IR3.arr1","2015-07-19 23:45:00",30.1922222222222,28.1472222222222,29.076149691358,2.045,2015-07-19
"Cayo.OR3.arr3","2015-07-26 23:45:00",29.865,28.122,29.0093695436508,1.743,2015-07-26
"Drago.OR4","2015-07-26 23:45:00",29.59,27.677,28.6576076388889,1.913,2015-07-26
"Punta.IR1","2015-07-26 23:45:00",29.966,29.015,29.4541607142857,0.951000000000001,2015-07-26
"STRI.IR2","2015-07-26 23:45:00",29.315,28.122,28.7860441468254,1.193,2015-07-26
"Cristo.IR3.arr1","2015-07-26 23:45:00",30.2927777777778,28.2211111111111,29.2646847442681,2.07166666666667,2015-07-26
"Cayo.OR3.arr3","2015-08-02 23:45:00",29.815,28.122,28.935066468254,1.693,2015-08-02
"Drago.OR4","2015-08-02 23:45:00",29.414,27.456,28.4620595238095,1.958,2015-08-02
"Punta.IR1","2015-08-02 23:45:00",30.142,28.493,29.2550709325397,1.649,2015-08-02
"STRI.IR2","2015-08-02 23:45:00",29.215,27.702,28.5476666666667,1.513,2015-08-02
"Cristo.IR3.arr1","2015-08-02 23:45:00",30.1922222222222,27.9738888888889,29.0732068452381,2.21833333333334,2015-08-02
"Cayo.OR3.arr3","2015-08-09 23:45:00",29.916,28.419,29.1669340277778,1.497,2015-08-09
"Drago.OR4","2015-08-09 23:45:00",29.315,28.196,28.7116021825397,1.119,2015-08-09
"Punta.IR1","2015-08-09 23:45:00",30.041,28.717,29.3644499007936,1.324,2015-08-09
"STRI.IR2","2015-08-09 23:45:00",29.59,28.617,29.0669146825397,0.972999999999999,2015-08-09
"Cristo.IR3.arr1","2015-08-09 23:45:00",30.52,28.7422222222222,29.5858606150794,1.77777777777778,2015-08-09
"Cayo.OR3.arr3","2015-08-16 23:45:00",29.966,28.27,29.0778045634921,1.696,2015-08-16
"Drago.OR4","2015-08-16 23:45:00",29.765,27.801,28.7364578373016,1.964,2015-08-16
"Punta.IR1","2015-08-16 23:45:00",29.991,28.493,29.2768621031746,1.498,2015-08-16
"STRI.IR2","2015-08-16 23:45:00",29.615,28.493,28.9854176587302,1.122,2015-08-16
"Cristo.IR3.arr1","2015-08-16 23:45:00",30.6211111111111,28.5177777777778,29.4863045634921,2.10333333333333,2015-08-16
"Cayo.OR3.arr3","2015-08-23 23:45:00",29.464,27.875,28.6253968253968,1.589,2015-08-23
"Drago.OR4","2015-08-23 23:45:00",29.24,27.677,28.4601800595238,1.563,2015-08-23
"Punta.IR1","2015-08-23 23:45:00",29.79,27.899,28.8669107142857,1.891,2015-08-23
"STRI.IR2","2015-08-23 23:45:00",29.14,28.097,28.5931324404762,1.043,2015-08-23
"Cristo.IR3.arr1","2015-08-23 23:45:00",29.715,28.0722222222222,28.8261400462963,1.64277777777778,2015-08-23
"Cayo.OR3.arr3","2015-08-30 23:45:00",30.925,27.825,29.2685778769841,3.1,2015-08-30
"Drago.OR4","2015-08-30 23:45:00",30.343,28.122,29.2258358134921,2.221,2015-08-30
"Punta.IR1","2015-08-30 23:45:00",30.318,28.667,29.4772113095238,1.651,2015-08-30
"STRI.IR2","2015-08-30 23:45:00",29.565,28.32,28.9121765873016,1.245,2015-08-30
"Cristo.IR3.arr1","2015-08-30 23:45:00",31.3822222222222,28.4188888888889,29.7284840718695,2.96333333333334,2015-08-30
"Cayo.OR3.arr3","2015-09-06 23:45:00",31.026,28.642,29.6626279761905,2.384,2015-09-06
"Drago.OR4","2015-09-06 23:45:00",30.117,28.742,29.3743467261905,1.375,2015-09-06
"Punta.IR1","2015-09-06 23:45:00",30.697,28.916,29.760810515873,1.781,2015-09-06
"STRI.IR2","2015-09-06 23:45:00",29.74,28.742,29.2496875,0.997999999999998,2015-09-06
"Cristo.IR3.arr1","2015-09-06 23:45:00",31.4588888888889,28.8911111111111,30.0421921847443,2.56777777777778,2015-09-06
"Cayo.OR3.arr3","2015-09-13 23:45:00",31.128,27.751,29.1592757936508,3.377,2015-09-13
"Drago.OR4","2015-09-13 23:45:00",29.464,27.702,28.5438447420635,1.762,2015-09-13
"Punta.IR1","2015-09-13 23:45:00",29.74,28.072,28.8768893849206,1.668,2015-09-13
"STRI.IR2","2015-09-13 23:45:00",29.165,28.097,28.6183526785714,1.068,2015-09-13
"Cristo.IR3.arr1","2015-09-13 23:45:00",31.9961111111111,28.32,29.8474129188713,3.67611111111112,2015-09-13
"Cayo.OR3.arr3","2015-09-20 23:45:00",31.791,28.766,30.1641879960317,3.025,2015-09-20
"Drago.OR4","2015-09-20 23:45:00",30.9,28.493,29.5569890873016,2.407,2015-09-20
"Punta.IR1","2015-09-20 23:45:00",30.824,28.617,29.64659375,2.207,2015-09-20
"STRI.IR2","2015-09-20 23:45:00",29.765,28.493,29.0540218253968,1.272,2015-09-20
"Cristo.IR3.arr1","2015-09-20 23:45:00",31.9188888888889,28.8661111111111,30.2582151124339,3.05277777777777,2015-09-20
"Cayo.OR3.arr3","2015-09-27 23:45:00",32.047,29.59,30.7548348214286,2.457,2015-09-27
"Drago.OR4","2015-09-27 23:45:00",31.052,29.215,30.1077886904762,1.837,2015-09-27
"Punta.IR1","2015-09-27 23:45:00",31.689,29.79,30.6425595238095,1.899,2015-09-27
"STRI.IR2","2015-09-27 23:45:00",30.545,29.315,29.9115,1.23,2015-09-27
"Cristo.IR3.arr1","2015-09-27 23:45:00",32.2527777777778,29.59,30.8731735008818,2.66277777777778,2015-09-27
"Cayo.OR3.arr3","2015-10-04 23:45:00",32.175,30.343,31.2295967261905,1.832,2015-10-04
"Drago.OR4","2015-10-04 23:45:00",31.357,29.79,30.5562336309524,1.567,2015-10-04
"Punta.IR1","2015-10-04 23:45:00",31.484,30.545,30.989785218254,0.939,2015-10-04
"STRI.IR2","2015-10-04 23:45:00",31.255,30.066,30.6276165674603,1.189,2015-10-04
"Cristo.IR3.arr1","2015-10-04 23:45:00",32.6388888888889,30.3688888888889,31.4169573963845,2.27,2015-10-04
"Cayo.OR3.arr3","2015-10-11 23:45:00",31.484,29.389,30.3269375,2.095,2015-10-11
"Drago.OR4","2015-10-11 23:45:00",31.204,29.365,30.2888154761905,1.839,2015-10-11
"Punta.IR1","2015-10-11 23:45:00",31.459,29.991,30.7229702380952,1.468,2015-10-11
"STRI.IR2","2015-10-11 23:45:00",31.077,29.389,30.2582286706349,1.688,2015-10-11
"Cristo.IR3.arr1","2015-10-11 23:45:00",32.2011111111111,29.74,30.8877210097002,2.46111111111112,2015-10-11
"Cayo.OR3.arr3","2015-10-18 23:45:00",31.459,29.54,30.5404568452381,1.919,2015-10-18
"Drago.OR4","2015-10-18 23:45:00",30.621,29.265,29.964253968254,1.356,2015-10-18
"Punta.IR1","2015-10-18 23:45:00",31.357,30.066,30.6815396825397,1.291,2015-10-18
"STRI.IR2","2015-10-18 23:45:00",30.925,29.389,30.1767306547619,1.536,2015-10-18
"Cristo.IR3.arr1","2015-10-18 23:45:00",32.5361111111111,29.765,31.069188712522,2.77111111111111,2015-10-18
"Cayo.OR3.arr3","2015-10-25 23:45:00",32.33,29.89,31.0676741071429,2.44,2015-10-25
"Drago.OR4","2015-10-25 23:45:00",31.357,29.54,30.4174652777778,1.817,2015-10-25
"Punta.IR1","2015-10-25 23:45:00",32.021,30.495,31.233625,1.526,2015-10-25
"STRI.IR2","2015-10-25 23:45:00",31.357,30.041,30.6556180555556,1.316,2015-10-25
"Cristo.IR3.arr1","2015-10-25 23:45:00",33.2088888888889,30.0661111111111,31.5083261684303,3.14277777777777,2015-10-25
"Cayo.OR3.arr3","2015-11-01 23:45:00",32.175,29.991,31.0167648809524,2.184,2015-11-01
"Drago.OR4","2015-11-01 23:45:00",31.052,28.941,30.049347718254,2.111,2015-11-01
"Punta.IR1","2015-11-01 23:45:00",31.919,30.091,30.9778660714286,1.828,2015-11-01
"STRI.IR2","2015-11-01 23:45:00",31.484,30.142,30.7335500992064,1.342,2015-11-01
"Cristo.IR3.arr1","2015-11-01 23:45:00",32.7172222222222,29.9411111111111,31.2596059303351,2.77611111111111,2015-11-01
"Cayo.OR3.arr3","2015-11-08 23:45:00",31.586,29.615,30.6137926587302,1.971,2015-11-08
"Drago.OR4","2015-11-08 23:45:00",31.052,29.565,30.316128968254,1.487,2015-11-08
"Punta.IR1","2015-11-08 23:45:00",31.842,30.268,31.009369047619,1.574,2015-11-08
"STRI.IR2","2015-11-08 23:45:00",31.026,30.016,30.4993199404762,1.01,2015-11-08
"Cristo.IR3.arr1","2015-11-08 23:45:00",32.4072222222222,29.9661111111111,31.0912574404762,2.44111111111112,2015-11-08
"Cayo.OR3.arr3","2015-11-15 23:45:00",31.103,29.665,30.3781081349206,1.438,2015-11-15
"Drago.OR4","2015-11-15 23:45:00",30.697,29.414,30.0725183531746,1.283,2015-11-15
"Punta.IR1","2015-11-15 23:45:00",31.586,30.268,30.8949558531746,1.318,2015-11-15
"STRI.IR2","2015-11-15 23:45:00",31.026,29.89,30.4122301587302,1.136,2015-11-15
"Cristo.IR3.arr1","2015-11-15 23:45:00",31.7911111111111,29.9911111111111,30.8624867724868,1.8,2015-11-15
"Cayo.OR3.arr3","2015-11-22 23:45:00",31.128,29.065,30.0911488095238,2.063,2015-11-22
"Drago.OR4","2015-11-22 23:45:00",30.142,28.841,29.5610749007937,1.301,2015-11-22
"Punta.IR1","2015-11-22 23:45:00",30.874,29.815,30.3120987103175,1.059,2015-11-22
"STRI.IR2","2015-11-22 23:45:00",30.571,29.74,30.1191006944444,0.831000000000003,2015-11-22
"Cristo.IR3.arr1","2015-11-22 23:45:00",32.0727777777778,29.515,30.7471844686949,2.55777777777778,2015-11-22
"Cayo.OR3.arr3","2015-11-29 23:45:00",29.765,28.245,28.9900014880952,1.52,2015-11-29
"Drago.OR4","2015-11-29 23:45:00",29.515,27.481,28.5973030753968,2.034,2015-11-29
"Punta.IR1","2015-11-29 23:45:00",29.966,28.766,29.3895758928571,1.2,2015-11-29
"STRI.IR2","2015-11-29 23:45:00",30.066,28.717,29.3681636904762,1.349,2015-11-29
"Cristo.IR3.arr1","2015-11-29 23:45:00",30.1922222222222,28.7911111111111,29.4925165343915,1.40111111111111,2015-11-29
"Cayo.OR3.arr3","2015-12-06 23:45:00",30.243,28.32,29.2265317460317,1.923,2015-12-06
"Drago.OR4","2015-12-06 23:45:00",29.916,28.196,28.9970550595238,1.72,2015-12-06
"Punta.IR1","2015-12-06 23:45:00",30.217,28.891,29.4864717261905,1.326,2015-12-06
"STRI.IR2","2015-12-06 23:45:00",29.69,28.642,29.1424107142857,1.048,2015-12-06
"Cristo.IR3.arr1","2015-12-06 23:45:00",30.52,28.5177777777778,29.4729152888007,2.00222222222223,2015-12-06
"Cayo.OR3.arr3","2015-12-13 23:45:00",29.865,28.568,29.1843239087302,1.297,2015-12-13
"Drago.OR4","2015-12-13 23:45:00",29.365,28.171,28.7905416666667,1.194,2015-12-13
"Punta.IR1","2015-12-13 23:45:00",29.916,28.866,29.3896463293651,1.05,2015-12-13
"STRI.IR2","2015-12-13 23:45:00",29.439,28.493,28.9534821428571,0.946000000000002,2015-12-13
"Cristo.IR3.arr1","2015-12-13 23:45:00",30.6211111111111,28.7911111111111,29.6188941247795,1.83,2015-12-13
"Cayo.OR3.arr3","2015-12-20 23:45:00",30.596,28.568,29.5343531746032,2.028,2015-12-20
"Drago.OR4","2015-12-20 23:45:00",29.515,28.072,28.8253025793651,1.443,2015-12-20
"Punta.IR1","2015-12-20 23:45:00",30.167,28.816,29.4699097222222,1.351,2015-12-20
"STRI.IR2","2015-12-20 23:45:00",29.389,28.667,29.022693452381,0.721999999999998,2015-12-20
"Cristo.IR3.arr1","2015-12-20 23:45:00",30.95,28.8661111111111,29.8059121472663,2.08388888888889,2015-12-20
"Cayo.OR3.arr3","2015-12-27 23:45:00",29.29,28.593,28.9181319444444,0.696999999999999,2015-12-27
"Drago.OR4","2015-12-27 23:45:00",29.439,28.32,28.8440704365079,1.119,2015-12-27
"Punta.IR1","2015-12-27 23:45:00",29.49,28.617,29.0407807539683,0.872999999999998,2015-12-27
"STRI.IR2","2015-12-27 23:45:00",29.14,28.593,28.8436116071429,0.547000000000001,2015-12-27
"Cristo.IR3.arr1","2015-12-27 23:45:00",30.1172222222222,28.8161111111111,29.3722065145503,1.30111111111111,2015-12-27
"Cayo.OR3.arr3","2016-01-03 23:45:00",29.765,28.419,29.0494831349206,1.346,2016-01-03
"Drago.OR4","2016-01-03 23:45:00",29.49,28.369,28.9149270833333,1.121,2016-01-03
"Punta.IR1","2016-01-03 23:45:00",29.64,28.518,29.1036155753968,1.122,2016-01-03
"STRI.IR2","2016-01-03 23:45:00",29.265,28.493,28.8799067460317,0.772000000000002,2016-01-03
"Cristo.IR3.arr1","2016-01-03 23:45:00",30.3688888888889,28.5177777777778,29.3615181327161,1.85111111111111,2016-01-03
"Cayo.OR3.arr3","2016-01-10 23:45:00",30.293,28.394,29.2726969246032,1.899,2016-01-10
"Drago.OR4","2016-01-10 23:45:00",29.54,27.949,28.7565744047619,1.591,2016-01-10
"Punta.IR1","2016-01-10 23:45:00",29.815,28.493,29.1493387896825,1.322,2016-01-10
"STRI.IR2","2016-01-10 23:45:00",29.365,28.617,28.9850783730159,0.747999999999998,2016-01-10
